id;nombre_vialidad;num_exterior;num_interior;telefono
1;knowing only since;indeed lest effectiv;adopt;progress
2;phew;notarise;ick mysteriously onc;lovingly
3;recipe;co-producer skyrocke;accidentally strictl;finally wheneve
4;worse fail skimp;aside cartridge;phooey;but
5;common yowza overuse;biodegradable;pirouette embezzle;anticodon
6;frantically repent cucumber;democracy;huzzah wind;turnip
7;inquisitively folklore;chamber very gee;gee memorable;meh roasted
8;daring lawyer;whoa because;brilliant;frightfully
9;juggernaut;pish athlete bird;poor;jealously uh-hu
10;meteorology;silently tall;unto likewise crush;warmhearted
